year,month,DEN_REG,descCarburante,sum_prezzo,count_prezzo,mean_prezzo
2018,1,Lazio,Excellium Diesel,11349.012,7272,1.5606452145214522
2018,1,Lazio,GPL,6776.4220000000005,10375,0.653149108433735
2018,1,Lazio,Gasolio,136926.033,92916,1.4736539777863877
2018,1,Lazio,Gasolio Alpino,465.36,300,1.5512000000000001
2018,1,Lazio,Gasolio Artico Igloo,94.59,60,1.5765
2018,1,Lazio,Gasolio Oro Diesel,519.59,300,1.7319666666666669
2018,1,Lazio,Gasolio Premium,6658.541,4122,1.615366569626395
2018,1,Lazio,Gasolio Speciale,137.42,90,1.5268888888888887
2018,1,Lazio,Gasolio artico,148.029,90,1.6447666666666667
2018,1,Lazio,Gasolio speciale,91.62,60,1.5270000000000001
2018,1,Lazio,Hi-Q Diesel,6783.526,3806,1.78232422490804
2018,1,Lazio,HiQ Perform+,2327.48,1226,1.8984339314845025
2018,1,Lazio,Metano,1773.6589999999999,1740,1.0193442528735632
2018,1,Liguria,Benzina,35162.758,21054,1.6701224470409424
2018,1,Liguria,Benzina Plus 98,248.45999999999998,120,2.0705
2018,1,Liguria,Benzina WR 100,615.032,330,1.8637333333333335
2018,1,Liguria,Benzina speciale,105.62,60,1.7603333333333333
2018,1,Liguria,Blue Diesel,6319.5109999999995,3930,1.6080180661577608
2018,1,Liguria,Blue Super,4286.258,2370,1.8085476793248945
2018,1,Liguria,Excellium Diesel,3608.6890000000003,2310,1.5622030303030305
2018,1,Liguria,GPL,710.989,1002,0.7095698602794411
2018,1,Liguria,Gasolio,31195.434,20934,1.4901802808827744
2018,1,Liguria,Gasolio Alpino,45.1,30,1.5033333333333334
2018,1,Liguria,Gasolio Gelo,100.041,60,1.6673499999999999
2018,1,Liguria,Gasolio Oro Diesel,288.53,158,1.826139240506329
2018,1,Liguria,Gasolio Premium,2967.164,1830,1.621401092896175
2018,1,Liguria,Gasolio Speciale,97.03999999999999,60,1.6173333333333333
2018,1,Liguria,Gasolio artico,86.42999999999999,60,1.4405
2018,1,Liguria,Gasolio speciale,184.45600000000002,120,1.5371333333333335
2018,1,Liguria,Hi-Q Diesel,1146.305,671,1.7083532041728764
2018,1,Liguria,HiQ Perform+,1099.1,581,1.8917383820998277
2018,1,Liguria,Metano,263.7,270,0.9766666666666666
2018,1,Lombardia,Benzina,203028.317,126759,1.601687588258033
2018,1,Lombardia,Benzina Plus 98,1330.16,690,1.927768115942029
2018,1,Lombardia,Benzina Speciale,237.55,138,1.721376811594203
2018,1,Lombardia,Benzina WR 100,7435.254000000001,4170,1.7830345323741008
2018,1,Lombardia,Benzina speciale,272.208,162,1.6802962962962964
2018,1,Lombardia,Blu Diesel Alpino,417.39599999999996,270,1.545911111111111
2018,1,Lombardia,Blue Diesel,36918.897,23049,1.6017569959651177
2018,1,Lombardia,Blue Super,22052.158,12558,1.756024685459468
2018,1,Lombardia,Diesel e+10,277.77,180,1.5431666666666666
2018,1,Lombardia,DieselMax,306.17,210,1.457952380952381
2018,1,Lombardia,Excellium Diesel,23422.638,14887,1.573361859340364
2018,1,Lombardia,GPL,8519.832,13082,0.651263721143556
2018,1,Lombardia,Gasolio,186402.275,125769,1.4821003188385056
2018,1,Lombardia,Gasolio Alpino,928.8349999999999,630,1.4743412698412697
2018,1,Lombardia,Gasolio Gelo,669.15,450,1.4869999999999999
2018,1,Lombardia,Gasolio Oro Diesel,1223.6399999999999,750,1.6315199999999999
2018,1,Lombardia,Gasolio Premium,14034.655999999999,8767,1.600850461959621
2018,1,Lombardia,Gasolio Speciale,303.862,198,1.5346565656565658
2018,1,Lombardia,Gasolio artico,2100.784,1380,1.5223072463768117
2018,1,Lombardia,Gasolio speciale,598.128,402,1.4878805970149256
2018,1,Lombardia,Hi-Q Diesel,15456.359,8752,1.7660373628884827
2018,1,Lombardia,HiQ Perform+,6965.656,3741,1.8619770114942529
2018,1,Lombardia,Magic Diesel,161.19,90,1.791
